Dog Scraped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NAME,Street Address,City,State,Postal Code,Age,Breed,Email,Telephone,Image URL,Access URL
Lenni,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Mixed Breed,ashleycornelius7@yahoo.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/662156e5-a65c-4589-a3a8-f335ad6000c0/image/589f68f0-0d76-43bd-8734-ffbd341991ca.jpg?versionId=0.pQpaxXJzmx.PzHO2UHY87qLiyPkE60&bust=1731165123&width=300,Click Here
Hanna,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,French Bulldog Mix,felineundergroundnetwork@gmail.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/6007abef-44c5-4f78-91b9-de4657ae3229/image/740942b0-2ffb-47cd-a386-58b35ab3ce00.jpg?versionId=a_qefqBSE8CcnseZpeU9mlpE8sq1wP0T&bust=1731164898&width=300,Click Here
Tucan,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Mixed Breed,felineundergroundnetwork@gmail.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/d71203fd-8b4a-4d17-b3ed-76d1062e93a1/image/4d8304a4-0664-41a7-aaf3-78723a3c450c.jpeg?versionId=OTYSd6nNvHnQBZ.ilTdzujeZ7F9up0iW&bust=1731085389&width=300,Click Here
Gaga,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Pit Bull Terrier,felineundergroundnetwork@gmail.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/b6a74748-bf6d-49f8-a5fb-9905feaf31e7/image/05972e86-cbfd-4068-bb96-990d3937b758.jpeg?versionId=4FjwI5g7VGksXI3qoK9AbFCjGyZK9Cne&bust=1731017628&width=300,Click Here
Shannon,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Labrador Retriever Mix,felineundergroundnetwork@gmail.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/c1c48d6d-716f-4d1b-a0c7-8e373fef8ac5/image/76d542ac-0ae8-4bc5-853d-2cca56b942f0.jpeg?versionId=y.hOe9HuiI2mNUuonyi4Dd7jXWG1Hpw6&bust=1731015589&width=300,Click Here
Watson,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Siberian Husky,felineundergroundnetwork@gmail.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/3ebfa037-ded7-4aba-8691-18679438625c/image/3a13bc00-891e-4b60-90cc-26f1f9041222.jpeg?versionId=PZljErj1_QqUODhqdPPpxawYtnZLUldn&bust=1731011853&width=300,Click Here
Zara,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,German Shepherd Dog,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/8f56f522-e44a-4511-841a-29a74c0d3d78/image/5d464bf9-f968-4a42-9992-8304b4b1e7ea.jpg?versionId=buxOQpoxubJDcDwnSpJAt9G5NIsoyEZ1&bust=1730755918&width=300,Click Here
Ellie,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Pit Bull Terrier,, (888) 452-7381,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/73147859/1/?bust=1732785293&width=300,Click Here
Valentina,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Siberian Husky Mix,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/72aac0d2-49f5-4e3a-ba08-cb9829b10d5a/image/8787b1f8-a86a-43f4-a915-d41ffabc371e.jpg?versionId=6ZGd75qLw4M7B9pUoG7m_76cW15u9zvI&bust=1732648617&width=300,Click Here
Cafesita,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Staffordshire Bull Terrier,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/03671cb7-13b8-4b83-a035-060a06b13b5e/image/46c38f85-cd64-4ebb-8a78-40bb32edc5a8.jpg?versionId=DnFnzJsNQH8lXmDNeXJV8kLxPeOoeg5D&bust=1732647207&width=300,Click Here
Pretzel,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Siberian Husky,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/00ac39c6-384f-47e3-8243-dff999c1978e/image/0d129fda-aaa8-48f9-9c45-45febb5fc9d7.jpg?versionId=roMrWJtV2FF8_GxjKV7x8s2putxKjXy6&bust=1732429169&width=300,Click Here
Brita,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Doberman Pinscher,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/5813962f-dac0-40d0-b476-e1601a5e75c2/image/d836abd6-133f-4ce5-9ce3-6ddfc93214f3.jpg?versionId=nyIDWUBg0zrW3Iq2pxeuyQFCHxQ0H9Xu&bust=1732231226&width=300,Click Here
Joaquin,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Siberian Husky Mix,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/96126ef5-53f9-4be0-95fd-18e7a78fdda8/image/ce024541-4e8b-49c3-8022-b629e435f340.jpg?versionId=Md0UXZ_2ttwD6NL45zDjVv8lGIfd_ADY&bust=1732230539&width=300,Click Here
Lluvia,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Pit Bull Terrier,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/6e923937-47a5-41c7-b058-3c7a5a10fa70/image/94975c57-8ae6-4b6b-a584-906032f858a3.jpg?versionId=b2swj0dLPqxfCHMMIR0HSE0C6s_I8mZb&bust=1732230358&width=300,Click Here
Jay Z,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Staffordshire Bull Terrier,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/eee70bfd-c867-441f-bd8c-705e84099183/image/7dfbaf5d-b83b-4d8f-8d2e-e3061f886bda.jpg?versionId=hCTWj_LOaHKilPgZhCTLnOiUeW9zzR.W&bust=1732229969&width=300,Click Here
Suni,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Weimaraner,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/e7bfb830-f48e-4d9a-8cd9-2754a75721d1/image/3bd32898-e7a2-4650-9623-c1f3de91676d.jpg?versionId=sS4uIMvjEx2.yayqPsqeJPIhVS8Zx1lN&bust=1732229623&width=300,Click Here
Chip,3201 Lacy Street,"Los Angeles,",CA,90031,Young,German Shepherd Dog,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/6e9146cc-f4da-4618-915a-d89113d32d06/image/1f84b781-490d-4ac7-8fba-cfefded5a041.jpeg?versionId=4c_BMy3ok5NMQGwy24ylrqFiTz33R1BB&bust=1731889587&width=300,Click Here
Eminem,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Pit Bull Terrier,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/384ee74b-88b1-48a4-890a-20cb601bde01/image/706296bd-879e-4d5d-992e-66298dc4d9be.jpeg?versionId=gNX8OXUaYJxm01Nl7Zz0ezRnSXS5Bp4u&bust=1731886357&width=300,Click Here
D.J.,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Siberian Husky,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/86c05d44-12e7-4dd7-a1de-6f3fe9c6a953/image/f56331ce-3947-4777-a93d-f8b2a8e2f47e.jpeg?versionId=nf5bA7djvOlxkIQzJiBR2azXmx.zZE9y&bust=1731877148&width=300,Click Here
Gyro,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Siberian Husky Mix,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/b5c2ad78-b849-4552-83cb-5dc769153b58/image/c7d87fb6-d788-4297-8376-472ce5874f94.jpeg?versionId=E7SzO0MqNaCEV4Ayv1jpO6UPBr_1Cty0&bust=1731864353&width=300,Click Here
Aura,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Pit Bull Terrier Mix,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/84a146af-1c44-49fd-b546-bd248578f605/image/86a74188-ae42-480b-b1ca-b4fa749763de.jpeg?versionId=hHDrDl_OhZvoM1AxQ7sj.QYEhbplDjLR&bust=1731799623&width=300,Click Here
China,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Mixed Breed,, (888) 452-7381,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/73147859/1/?bust=1732785293&width=300,Click Here
Rita,3201 Lacy Street,"Los Angeles,",CA,90031,Young,German Shepherd Dog Mix,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/72aac0d2-49f5-4e3a-ba08-cb9829b10d5a/image/8787b1f8-a86a-43f4-a915-d41ffabc371e.jpg?versionId=6ZGd75qLw4M7B9pUoG7m_76cW15u9zvI&bust=1732648617&width=300,Click Here
"Chocorollo ""Choco""",3201 Lacy Street,"Los Angeles,",CA,90031,Puppy,Pit Bull Terrier,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/03671cb7-13b8-4b83-a035-060a06b13b5e/image/46c38f85-cd64-4ebb-8a78-40bb32edc5a8.jpg?versionId=DnFnzJsNQH8lXmDNeXJV8kLxPeOoeg5D&bust=1732647207&width=300,Click Here
Dori,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Mixed Breed,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/00ac39c6-384f-47e3-8243-dff999c1978e/image/0d129fda-aaa8-48f9-9c45-45febb5fc9d7.jpg?versionId=roMrWJtV2FF8_GxjKV7x8s2putxKjXy6&bust=1732429169&width=300,Click Here
Sarge,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Mixed Breed,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/5813962f-dac0-40d0-b476-e1601a5e75c2/image/d836abd6-133f-4ce5-9ce3-6ddfc93214f3.jpg?versionId=nyIDWUBg0zrW3Iq2pxeuyQFCHxQ0H9Xu&bust=1732231226&width=300,Click Here
Biscuit,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Mixed Breed,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/96126ef5-53f9-4be0-95fd-18e7a78fdda8/image/ce024541-4e8b-49c3-8022-b629e435f340.jpg?versionId=Md0UXZ_2ttwD6NL45zDjVv8lGIfd_ADY&bust=1732230539&width=300,Click Here
Yara,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Pit Bull Terrier,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/6e923937-47a5-41c7-b058-3c7a5a10fa70/image/94975c57-8ae6-4b6b-a584-906032f858a3.jpg?versionId=b2swj0dLPqxfCHMMIR0HSE0C6s_I8mZb&bust=1732230358&width=300,Click Here
Uma,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Pit Bull Terrier,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/eee70bfd-c867-441f-bd8c-705e84099183/image/7dfbaf5d-b83b-4d8f-8d2e-e3061f886bda.jpg?versionId=hCTWj_LOaHKilPgZhCTLnOiUeW9zzR.W&bust=1732229969&width=300,Click Here
Cazzu,3201 Lacy Street,"Los Angeles,",CA,90031,Senior,Pit Bull Terrier,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/e7bfb830-f48e-4d9a-8cd9-2754a75721d1/image/3bd32898-e7a2-4650-9623-c1f3de91676d.jpg?versionId=sS4uIMvjEx2.yayqPsqeJPIhVS8Zx1lN&bust=1732229623&width=300,Click Here
Freckles,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Parson Russell Terrier & Chihuahua Mix,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/6e9146cc-f4da-4618-915a-d89113d32d06/image/1f84b781-490d-4ac7-8fba-cfefded5a041.jpeg?versionId=4c_BMy3ok5NMQGwy24ylrqFiTz33R1BB&bust=1731889587&width=300,Click Here
COLIN,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Mixed Breed,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/384ee74b-88b1-48a4-890a-20cb601bde01/image/706296bd-879e-4d5d-992e-66298dc4d9be.jpeg?versionId=gNX8OXUaYJxm01Nl7Zz0ezRnSXS5Bp4u&bust=1731886357&width=300,Click Here
OLIVIA,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Siberian Husky,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/86c05d44-12e7-4dd7-a1de-6f3fe9c6a953/image/f56331ce-3947-4777-a93d-f8b2a8e2f47e.jpeg?versionId=nf5bA7djvOlxkIQzJiBR2azXmx.zZE9y&bust=1731877148&width=300,Click Here
Baxter,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Labrador Retriever & Pit Bull Terrier Mix,, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/b5c2ad78-b849-4552-83cb-5dc769153b58/image/c7d87fb6-d788-4297-8376-472ce5874f94.jpeg?versionId=E7SzO0MqNaCEV4Ayv1jpO6UPBr_1Cty0&bust=1731864353&width=300,Click Here
Flora,3201 Lacy Street,"Los Angeles,",CA,90031,Puppy,Mixed Breed,DawnVargas05@yahoo.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/84a146af-1c44-49fd-b546-bd248578f605/image/86a74188-ae42-480b-b1ca-b4fa749763de.jpeg?versionId=hHDrDl_OhZvoM1AxQ7sj.QYEhbplDjLR&bust=1731799623&width=300,Click Here
Popi,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Mixed Breed,DawnVargas05@yahoo.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/dcd9216b-cfc1-4953-bb8d-c0eb0ce7abd9/image/388e82d3-2a89-4300-ab4c-f256440701a1.jpeg?versionId=uVkTywCEYv1fZCbf1aaPhX8tsOFkGNUI&bust=1730846852&width=300,Click Here
Pandora,3201 Lacy Street,"Los Angeles,",CA,90031,Young,German Shepherd Dog,DawnVargas05@yahoo.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/6e62595a-e907-4064-8c6a-2ccb1edfefcf/image/72ba73f9-e100-4968-8227-f93baecbc3f1.jpeg?versionId=2H1.4nV2.ze6Ga3znUp2V0qb6JxXY45l&bust=1730846430&width=300,Click Here
Lumi,3201 Lacy Street,"Los Angeles,",CA,90031,Senior,Mixed Breed,DawnVargas05@yahoo.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/e4895671-7918-4e25-879b-9b657a1eda9b/image/00efc33e-d108-427c-9206-de7a8cc1ac0d.jpeg?versionId=wuoqenao62t45rZyQx_FquEQGL7720yL&bust=1730846134&width=300,Click Here
Venus,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Mastiff Mix,DawnVargas05@yahoo.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/db772c65-bf04-4c47-b707-f9862b62f454/image/7ac0a994-56cd-4379-a18c-502a1d82bf68.jpeg?versionId=Y2WrhCqX3ND7gmX0cPAFt.Q_ZovVW_pA&bust=1731793502&width=300,Click Here
Jopito,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Mixed Breed,DawnVargas05@yahoo.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/a9f45881-4d01-44e7-9403-faa7a2b0ee7c/image/c48a435b-bec8-46a6-a9ab-61bb7222a643.jpeg?versionId=_hM_rrrQdOtWq3AI1Ag_ED_WW9FPZk8L&bust=1730760805&width=300,Click Here
Lenni,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Siberian Husky,DawnVargas05@yahoo.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/24dc3e30-c425-436e-8fd0-4a3f212cbcba/image/0c2f12bd-a10e-48bd-872c-8696277ef1f4.jpeg?versionId=4xtuqZis5cefcS2AzgO7jMgJswXoQJXW&bust=1730224454&width=300,Click Here
Hanna,3201 Lacy Street,"Los Angeles,",CA,90031,Young,German Shepherd Dog,DawnVargas05@yahoo.com, (888) 452-7381,https://dbw3zep4prcju.cloudfront.net/animal/f5a78a7d-1932-4251-866c-38a7ebc0eb7e/image/a8e413f4-2717-4d46-b1ae-ffab038fa55c.jpeg?versionId=FEmNNS5WlIlLul_UEKk86pQuRL7Mmmyk&bust=1730224039&width=300,Click Here
Tucan,3201 Lacy Street,"Los Angeles,",CA,90031,Young,German Shepherd Dog,DawnVargas05@yahoo.com,,https://dbw3zep4prcju.cloudfront.net/animal/c1ea8b8e-9897-4919-98a0-fa11f8304390/image/07c554c3-c49e-4bf8-830c-e8eb71426cf2.jpeg?versionId=lET5KJSapN5GWx4.tXWCiYTkasPVfzoj&bust=1730223778&width=300,Click Here
Gaga,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Pit Bull Terrier,DawnVargas05@yahoo.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/dfecd9d1-48b2-42c2-91c3-7ce8f332413e/image/a13d0b2f-5130-442e-9570-ef85524cb61c.jpeg?versionId=SKAu6EvbvePUWPFc0wOdWZbAsyYRvsJ4&bust=1730161824&width=300,Click Here
Shannon,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Siberian Husky,DawnVargas05@yahoo.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/c1de4985-0d24-4886-96d1-160b98809aae/image/4fd27299-4db9-46d6-8712-1af18e7b21f5.jpeg?versionId=jKnaJzyNp2j7qab86lhSzZCj0NdnHXJQ&bust=1730161341&width=300,Click Here
Watson,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Staffordshire Bull Terrier,DawnVargas05@yahoo.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/cd9f7291-a308-4e02-9d29-4e1587faca9a/image/4840299a-fdf8-4898-bf9e-294ea9c3e25a.jpeg?versionId=uesmsm1KRAguJn0.DMBFb12qbBNu7HI8&bust=1729807535&width=300,Click Here
Zara,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Mixed Breed,DawnVargas05@yahoo.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/a51c9c76-61ac-42b7-bb74-84701584f4ba/image/6fa528d0-9edf-485e-9711-95e94fd9a17c.jpg?versionId=KCD7YCWoqYDzskh0Wlocs6scvb.AApya&bust=1729807142&width=300,Click Here
Ellie,3201 Lacy Street,"Los Angeles,",CA,90031,Young,German Shepherd Dog,DawnVargas05@yahoo.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/a9996097-a51d-4609-8acf-fc49bbbdeb7f/image/68e0f821-6d6a-4fde-a1c3-805e7cf21c0c.jpg?versionId=c.50am3T1I_3d3EDG2HtK5QwOSKXoALV&bust=1729806397&width=300,Click Here
Valentina,3201 Lacy Street,"Los Angeles,",CA,90031,Young,Siberian Husky,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/5b48b58c-fdc7-4e17-9ca6-04565223b3cc/image/fed1f2e2-d9a6-489d-ac6b-f99d8c417e94.jpg?versionId=3.GTqlZtxEICZPWZxiZD.zd.okEhNAJ2&bust=1729806027&width=300,Click Here
Cafesita,3201 Lacy Street,"Los Angeles,",CA,90031,Adult,Pit Bull Terrier,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/76a9323f-21fd-4695-a6ed-532abee8dda0/image/9ebc43dd-fde8-4316-999e-be836313f982.jpg?versionId=t8lax50MmcHxKpZWGDqbB4pOJsjdXCCK&bust=1729799981&width=300,Click Here
Pretzel,199 Queen Street,Charlottetown,PE,C1A 4B7,Young,German Shepherd Dog Mix,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/d6d179ec-05f9-4b1c-90cb-e54b563fac69/image/5da6df23-9a25-4087-ada1-575f73d20337.jpg?versionId=34VL2iGgHnIFSUzVG_o7XUA.o2n_8jqC&bust=1729779059&width=300,Click Here
Brita,,Aulac,NB,,Adult,German Shepherd Dog Mix,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/73147859/1/?bust=1732785293&width=300,Click Here
Joaquin,,Aulac,NB,,Adult,Pit Bull Terrier,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/72aac0d2-49f5-4e3a-ba08-cb9829b10d5a/image/8787b1f8-a86a-43f4-a915-d41ffabc371e.jpg?versionId=6ZGd75qLw4M7B9pUoG7m_76cW15u9zvI&bust=1732648617&width=300,Click Here
Lluvia,,Aulac,NB,,Young,Akita,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/03671cb7-13b8-4b83-a035-060a06b13b5e/image/46c38f85-cd64-4ebb-8a78-40bb32edc5a8.jpg?versionId=DnFnzJsNQH8lXmDNeXJV8kLxPeOoeg5D&bust=1732647207&width=300,Click Here
Jay Z,,Aulac,NB,,Young,Siberian Husky,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/00ac39c6-384f-47e3-8243-dff999c1978e/image/0d129fda-aaa8-48f9-9c45-45febb5fc9d7.jpg?versionId=roMrWJtV2FF8_GxjKV7x8s2putxKjXy6&bust=1732429169&width=300,Click Here
Suni,,Aulac,NB,,Young,German Shepherd Dog,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/5813962f-dac0-40d0-b476-e1601a5e75c2/image/d836abd6-133f-4ce5-9ce3-6ddfc93214f3.jpg?versionId=nyIDWUBg0zrW3Iq2pxeuyQFCHxQ0H9Xu&bust=1732231226&width=300,Click Here
Chip,,Aulac,NB,,Young,Basenji Mix,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/96126ef5-53f9-4be0-95fd-18e7a78fdda8/image/ce024541-4e8b-49c3-8022-b629e435f340.jpg?versionId=Md0UXZ_2ttwD6NL45zDjVv8lGIfd_ADY&bust=1732230539&width=300,Click Here
Eminem,,Aulac,NB,,Young,Mixed Breed,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/6e923937-47a5-41c7-b058-3c7a5a10fa70/image/94975c57-8ae6-4b6b-a584-906032f858a3.jpg?versionId=b2swj0dLPqxfCHMMIR0HSE0C6s_I8mZb&bust=1732230358&width=300,Click Here
D.J.,,Aulac,NB,,Young,German Shepherd Dog & Labrador Retriever Mix,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/eee70bfd-c867-441f-bd8c-705e84099183/image/7dfbaf5d-b83b-4d8f-8d2e-e3061f886bda.jpg?versionId=hCTWj_LOaHKilPgZhCTLnOiUeW9zzR.W&bust=1732229969&width=300,Click Here
Gyro,,Aulac,NB,,Adult,Mixed Breed,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/e7bfb830-f48e-4d9a-8cd9-2754a75721d1/image/3bd32898-e7a2-4650-9623-c1f3de91676d.jpg?versionId=sS4uIMvjEx2.yayqPsqeJPIhVS8Zx1lN&bust=1732229623&width=300,Click Here
Aura,,Aulac,NB,,Young,Pit Bull Terrier & American Staffordshire Terrier Mix,herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/6e9146cc-f4da-4618-915a-d89113d32d06/image/1f84b781-490d-4ac7-8fba-cfefded5a041.jpeg?versionId=4c_BMy3ok5NMQGwy24ylrqFiTz33R1BB&bust=1731889587&width=300,Click Here
China,,Aulac,NB,,Young,Pit Bull Terrier,herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/384ee74b-88b1-48a4-890a-20cb601bde01/image/706296bd-879e-4d5d-992e-66298dc4d9be.jpeg?versionId=gNX8OXUaYJxm01Nl7Zz0ezRnSXS5Bp4u&bust=1731886357&width=300,Click Here
Rita,,Aulac,NB,,Young,Siberian Husky,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/86c05d44-12e7-4dd7-a1de-6f3fe9c6a953/image/f56331ce-3947-4777-a93d-f8b2a8e2f47e.jpeg?versionId=nf5bA7djvOlxkIQzJiBR2azXmx.zZE9y&bust=1731877148&width=300,Click Here
"Chocorollo ""Choco""",,Aulac,NB,,Young,Pit Bull Terrier,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/b5c2ad78-b849-4552-83cb-5dc769153b58/image/c7d87fb6-d788-4297-8376-472ce5874f94.jpeg?versionId=E7SzO0MqNaCEV4Ayv1jpO6UPBr_1Cty0&bust=1731864353&width=300,Click Here
Dori,,Aulac,NB,,Adult,Pit Bull Terrier,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/84a146af-1c44-49fd-b546-bd248578f605/image/86a74188-ae42-480b-b1ca-b4fa749763de.jpeg?versionId=hHDrDl_OhZvoM1AxQ7sj.QYEhbplDjLR&bust=1731799623&width=300,Click Here
Sarge,,Aulac,NB,,Adult,Siberian Husky,herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/dcd9216b-cfc1-4953-bb8d-c0eb0ce7abd9/image/388e82d3-2a89-4300-ab4c-f256440701a1.jpeg?versionId=uVkTywCEYv1fZCbf1aaPhX8tsOFkGNUI&bust=1730846852&width=300,Click Here
Biscuit,,Aulac,NB,,Young,Shetland Sheepdog / Sheltie,herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/6e62595a-e907-4064-8c6a-2ccb1edfefcf/image/72ba73f9-e100-4968-8227-f93baecbc3f1.jpeg?versionId=2H1.4nV2.ze6Ga3znUp2V0qb6JxXY45l&bust=1730846430&width=300,Click Here
Yara,,Aulac,NB,,Young,Pit Bull Terrier,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/e4895671-7918-4e25-879b-9b657a1eda9b/image/00efc33e-d108-427c-9206-de7a8cc1ac0d.jpeg?versionId=wuoqenao62t45rZyQx_FquEQGL7720yL&bust=1730846134&width=300,Click Here
Uma,,Aulac,NB,,Young,German Shepherd Dog Mix,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/db772c65-bf04-4c47-b707-f9862b62f454/image/7ac0a994-56cd-4379-a18c-502a1d82bf68.jpeg?versionId=Y2WrhCqX3ND7gmX0cPAFt.Q_ZovVW_pA&bust=1731793502&width=300,Click Here
Cazzu,,Aulac,NB,,Young,German Shepherd Dog,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/a9f45881-4d01-44e7-9403-faa7a2b0ee7c/image/c48a435b-bec8-46a6-a9ab-61bb7222a643.jpeg?versionId=_hM_rrrQdOtWq3AI1Ag_ED_WW9FPZk8L&bust=1730760805&width=300,Click Here
Freckles,,Aulac,NB,,Adult,German Shepherd Dog Mix,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/24dc3e30-c425-436e-8fd0-4a3f212cbcba/image/0c2f12bd-a10e-48bd-872c-8696277ef1f4.jpeg?versionId=4xtuqZis5cefcS2AzgO7jMgJswXoQJXW&bust=1730224454&width=300,Click Here
COLIN,,Aulac,NB,,Senior,German Shepherd Dog Mix,Herehaveakitteninc@gmail.com,(409) 504-2519,https://dbw3zep4prcju.cloudfront.net/animal/f5a78a7d-1932-4251-866c-38a7ebc0eb7e/image/a8e413f4-2717-4d46-b1ae-ffab038fa55c.jpeg?versionId=FEmNNS5WlIlLul_UEKk86pQuRL7Mmmyk&bust=1730224039&width=300,Click Here
